Number of images loaded: 10023
Loaded 9428 training samples
Loaded 496 validation samples
Loaded 104 test samples
EPOCH 175/300 	 train loss 0.017009278759360313 	 val loss 0.018667973577976227

EPOCH 176/300 	 train loss 0.017010632902383804 	 val loss 0.020527265965938568

EPOCH 177/300 	 train loss 0.016954027116298676 	 val loss 0.020128978416323662

EPOCH 178/300 	 train loss 0.016962632536888123 	 val loss 0.018888993188738823

EPOCH 179/300 	 train loss 0.01699388213455677 	 val loss 0.020200392231345177

EPOCH 180/300 	 train loss 0.01694410666823387 	 val loss 0.019644388929009438

EPOCH 181/300 	 train loss 0.01696317084133625 	 val loss 0.01905345916748047

EPOCH 182/300 	 train loss 0.01694941706955433 	 val loss 0.019168062135577202

EPOCH 183/300 	 train loss 0.01687994785606861 	 val loss 0.01853196695446968

EPOCH 184/300 	 train loss 0.0169037114828825 	 val loss 0.01909095235168934

EPOCH 185/300 	 train loss 0.01689358986914158 	 val loss 0.02074795588850975

EPOCH 186/300 	 train loss 0.01688830740749836 	 val loss 0.01850857213139534

EPOCH 187/300 	 train loss 0.016886426135897636 	 val loss 0.01892361231148243

EPOCH 188/300 	 train loss 0.01684480719268322 	 val loss 0.01885320618748665

EPOCH 189/300 	 train loss 0.01683257706463337 	 val loss 0.018818065524101257

EPOCH 190/300 	 train loss 0.01678123138844967 	 val loss 0.01978703960776329

EPOCH 191/300 	 train loss 0.016810888424515724 	 val loss 0.01846105046570301

EPOCH 192/300 	 train loss 0.016861004754900932 	 val loss 0.019833069294691086

EPOCH 193/300 	 train loss 0.016793258488178253 	 val loss 0.01857662945985794

EPOCH 194/300 	 train loss 0.016769791021943092 	 val loss 0.01878766529262066

EPOCH 195/300 	 train loss 0.016825515776872635 	 val loss 0.01854117400944233

EPOCH 196/300 	 train loss 0.01678253710269928 	 val loss 0.018951302394270897

EPOCH 197/300 	 train loss 0.01677451655268669 	 val loss 0.01887436769902706

EPOCH 198/300 	 train loss 0.016753459349274635 	 val loss 0.019195547327399254

EPOCH 199/300 	 train loss 0.01676272042095661 	 val loss 0.019584156572818756

EPOCH 200/300 	 train loss 0.016725419089198112 	 val loss 0.01864042319357395

EPOCH 201/300 	 train loss 0.016755301505327225 	 val loss 0.018543045967817307

EPOCH 202/300 	 train loss 0.016680149361491203 	 val loss 0.019700322300195694

EPOCH 203/300 	 train loss 0.01669643446803093 	 val loss 0.019889995455741882

EPOCH 204/300 	 train loss 0.016657771542668343 	 val loss 0.020469043403863907

EPOCH 205/300 	 train loss 0.016661101952195168 	 val loss 0.019234752282500267

EPOCH 206/300 	 train loss 0.016734754666686058 	 val loss 0.019220011308789253

EPOCH 207/300 	 train loss 0.01664106547832489 	 val loss 0.018631117418408394

EPOCH 208/300 	 train loss 0.016655482351779938 	 val loss 0.018726084381341934

EPOCH 209/300 	 train loss 0.016626998782157898 	 val loss 0.01875821314752102

EPOCH 210/300 	 train loss 0.016660185530781746 	 val loss 0.019705822691321373

EPOCH 211/300 	 train loss 0.016648076474666595 	 val loss 0.018955916166305542

EPOCH 212/300 	 train loss 0.016636447980999947 	 val loss 0.018862934783101082

EPOCH 213/300 	 train loss 0.016619957983493805 	 val loss 0.018560349941253662

EPOCH 214/300 	 train loss 0.016652977094054222 	 val loss 0.018844058737158775

EPOCH 215/300 	 train loss 0.016625195741653442 	 val loss 0.01876334846019745

EPOCH 216/300 	 train loss 0.016583478078246117 	 val loss 0.020528608933091164

EPOCH 217/300 	 train loss 0.01654900051653385 	 val loss 0.018519356846809387

EPOCH 218/300 	 train loss 0.016565078869462013 	 val loss 0.019018545746803284

EPOCH 219/300 	 train loss 0.01658353954553604 	 val loss 0.020227333530783653

EPOCH 220/300 	 train loss 0.016577355563640594 	 val loss 0.018775418400764465

EPOCH 221/300 	 train loss 0.01657462865114212 	 val loss 0.018155138939619064

EPOCH 222/300 	 train loss 0.016506480053067207 	 val loss 0.01894393190741539

EPOCH 223/300 	 train loss 0.016572870314121246 	 val loss 0.02023392543196678

EPOCH 224/300 	 train loss 0.016503330320119858 	 val loss 0.01832733303308487

EPOCH 225/300 	 train loss 0.01650375872850418 	 val loss 0.020154384896159172

EPOCH 226/300 	 train loss 0.016562027856707573 	 val loss 0.01855320855975151

EPOCH 227/300 	 train loss 0.01648879051208496 	 val loss 0.01900462992489338

EPOCH 228/300 	 train loss 0.016525212675333023 	 val loss 0.018709402531385422

EPOCH 229/300 	 train loss 0.016497986391186714 	 val loss 0.018550321459770203

EPOCH 230/300 	 train loss 0.01647081784904003 	 val loss 0.018205221742391586

EPOCH 231/300 	 train loss 0.0164822805672884 	 val loss 0.01923413760960102

EPOCH 232/300 	 train loss 0.01648682914674282 	 val loss 0.018404224887490273

EPOCH 233/300 	 train loss 0.016458604484796524 	 val loss 0.01921616867184639

EPOCH 234/300 	 train loss 0.016448812559247017 	 val loss 0.018792420625686646

EPOCH 235/300 	 train loss 0.01644985005259514 	 val loss 0.019087260589003563

EPOCH 236/300 	 train loss 0.01646392233669758 	 val loss 0.01807265728712082

EPOCH 237/300 	 train loss 0.016438443213701248 	 val loss 0.018377739936113358

EPOCH 238/300 	 train loss 0.016444480046629906 	 val loss 0.019811082631349564

EPOCH 239/300 	 train loss 0.016417397186160088 	 val loss 0.02078777365386486

EPOCH 240/300 	 train loss 0.016418255865573883 	 val loss 0.01917080394923687

EPOCH 241/300 	 train loss 0.016393935307860374 	 val loss 0.01807486265897751

